0.8,1.7_t,3.2_t,31.4_t
54.393,38.11,6.671,0.01
54.468,37.502,6.403,0.1
54.605,37.302,6.212,0.1
51,0.1,0.001,2.001
69,0.1,0.001,0.1
65.903,37.013,6.122,0.1
66.348,36.882,6.239,0.1
66.237,36.346,6.166,0.1
67.976,37.027,6.268,-0.096
68.417,36.929,6.238,0.034
68.803,36.986,6.325,-0.096
69.479,37.178,6.358,0.031
69.774,37.152,6.424,-0.027
70.314,37.413,6.461,0.018
70.729,37.523,6.508,-0.117
71.202,37.749,6.596,0.011
71.625,37.939,6.694,0.137
72.012,38.075,6.76,0.01
72.342,38.319,6.866,-0.031
72.752,38.553,6.961,-0.017
73.08,38.753,7.063,-0.034
73.418,39.024,7.248,-0.021
73.796,39.33,7.341,0.003
74.168,39.58,7.489,-0.018
74.446,39.844,7.608,-0.006
74.757,40.111,7.739,0.02
75.07,40.408,7.909,-0.024
75.368,40.688,8.07,0.008
75.636,40.926,8.255,-0.031
75.958,41.243,8.385,-0.011
76.357,41.591,8.565,-0.032
76.637,41.862,8.733,0.006
76.939,42.087,8.861,-0.02
77.292,42.377,9.033,-0.018
77.643,42.691,9.195,-0.064
78.015,42.931,9.346,-0.003
78.319,43.207,9.515,0.014
78.654,43.454,9.682,-0.011
79.024,43.709,9.853,-0.032
79.373,43.936,10.013,-0.02
79.701,44.179,10.139,-0.027
79.988,44.411,10.275,0.014
80.304,44.583,10.408,0.003
80.583,44.821,10.558,-0.003
80.833,45,10.681,0.023
81.068,45.175,10.803,-0.049
81.265,45.331,10.905,-0.027
81.436,45.497,11.017,-0.024
81.619,45.624,11.118,-0.003
81.775,45.781,11.211,0.003
81.931,45.92,11.301,0.012
82.036,46.019,11.359,-0.024
82.164,46.1,11.421,0.011
82.329,46.202,11.491,0.021
82.455,46.263,11.536,0.012
82.603,46.333,11.574,-0.024
82.68,46.416,11.601,-0.003
82.78,46.463,11.63,-0.006
82.861,46.465,11.635,-0.032
82.991,46.48,11.639,0.014
83.035,46.495,11.667,0.011
83.15,46.49,11.661,-0.017
83.284,46.454,11.656,0.005
83.376,46.457,11.655,-0.006
83.464,46.431,11.609,0.003
83.534,46.378,11.583,-0.005
83.572,46.338,11.536,0.006
83.673,46.277,11.496,0.009
83.781,46.196,11.423,0.047
83.839,46.124,11.366,0.003
83.888,46.045,11.333,0.02
84.007,45.961,11.266,-0.02
84.018,45.889,11.189,0.003
84.093,45.763,11.131,-0.003
84.186,45.665,11.06,-0.003
84.28,45.572,10.985,-0.003
84.326,45.441,10.927,-0.034
84.412,45.345,10.878,0.021
84.479,45.209,10.779,-0.005
84.525,45.105,10.704,-0.037
84.593,45.035,10.652,-0.05
84.682,44.93,10.562,-0.05
84.746,44.832,10.481,0.029
84.825,44.685,10.428,-0.006
84.908,44.595,10.378,-0.029
84.952,44.455,10.291,0.006
85.095,44.368,10.196,0.046
85.104,44.241,10.1,-0.006
85.214,44.18,10.042,0.047
85.32,44.061,10.002,-0.021
85.411,43.959,9.924,-0.044
85.429,43.831,9.833,-0.024
85.513,43.732,9.802,0.012
85.583,43.633,9.703,-0.024
85.667,43.561,9.674,0.014
85.728,43.446,9.616,0.029
85.832,43.361,9.557,-0.067
85.895,43.253,9.5,-0.072
86.029,43.222,9.456,0.035
86.098,43.147,9.438,0.052
86.139,43.057,9.404,0.031
86.189,43.018,9.334,-0.012
86.25,42.917,9.311,0.018
86.334,42.871,9.259,0.018
86.36,42.78,9.244,-0.052
86.443,42.72,9.178,-0.05
86.49,42.625,9.123,-0.073
86.581,42.599,9.145,-0.035
86.58,42.551,9.079,-0.041
86.671,42.508,9.067,-0.026
86.765,42.461,9.019,-0.017
86.81,42.404,8.99,-0.044
86.908,42.368,8.965,-0.061
86.967,42.332,8.965,-0.067
