1.7_t,3.2_t,31.4_t
38.11,6.671,0.067
37.502,6.403,-0.058
37.302,6.212,0.005
0.001,0.001,2.001
0.001,0.001,0.001
37.013,6.122,0.044
36.882,6.239,-0.154
36.346,6.166,-0.05
37.027,6.268,-0.096
36.929,6.238,0.034
36.986,6.325,-0.096
37.178,6.358,0.031
37.152,6.424,-0.027
37.413,6.461,0.018
37.523,6.508,-0.117
37.749,6.596,0.011
37.939,6.694,0.137
38.075,6.76,-0.006
38.319,6.866,-0.031
38.553,6.961,-0.017
38.753,7.063,-0.034
39.024,7.248,-0.021
39.33,7.341,0.003
39.58,7.489,-0.018
39.844,7.608,-0.006
40.111,7.739,0.02
40.408,7.909,-0.024
40.688,8.07,0.008
40.926,8.255,-0.031
41.243,8.385,-0.011
41.591,8.565,-0.032
41.862,8.733,0.006
42.087,8.861,-0.02
42.377,9.033,-0.018
42.691,9.195,-0.064
42.931,9.346,-0.003
43.207,9.515,0.014
43.454,9.682,-0.011
43.709,9.853,-0.032
43.936,10.013,-0.02
44.179,10.139,-0.027
44.411,10.275,0
44.583,10.408,0
44.821,10.558,-0.003
45,10.681,0.023
45.175,10.803,-0.049
45.331,10.905,-0.027
45.497,11.017,-0.024
45.624,11.118,0
45.781,11.211,0.003
45.92,11.301,0.012
46.019,11.359,-0.024
46.1,11.421,0.011
46.202,11.491,0.021
46.263,11.536,0.012
46.333,11.574,-0.024
46.416,11.601,0
46.463,11.63,-0.006
46.465,11.635,-0.032
46.48,11.639,0.014
46.495,11.667,0.011
46.49,11.661,-0.017
46.454,11.656,0.005
46.457,11.655,-0.006
46.431,11.609,0.003
46.378,11.583,-0.005
46.338,11.536,0.006
46.277,11.496,0.009
46.196,11.423,0.047
46.124,11.366,0.003
46.045,11.333,0.02
45.961,11.266,-0.02
45.889,11.189,0.003
45.763,11.131,-0.003
45.665,11.06,0
45.572,10.985,0
45.441,10.927,-0.034
45.345,10.878,0.021
45.209,10.779,-0.005
45.105,10.704,-0.037
45.035,10.652,-0.05
44.93,10.562,-0.05
44.832,10.481,0.029
44.685,10.428,-0.006
44.595,10.378,-0.029
44.455,10.291,0.006
44.368,10.196,0.046
44.241,10.1,-0.006
44.18,10.042,0.047
44.061,10.002,-0.021
43.959,9.924,-0.044
43.831,9.833,-0.024
43.732,9.802,0.012
43.633,9.703,-0.024
43.561,9.674,0.014
43.446,9.616,0.029
43.361,9.557,-0.067
43.253,9.5,-0.072
43.222,9.456,0.035
43.147,9.438,0.052
43.057,9.404,0.031
43.018,9.334,-0.012
42.917,9.311,0.018
42.871,9.259,0.018
42.78,9.244,-0.052
42.72,9.178,-0.05
42.625,9.123,-0.073
42.599,9.145,-0.035
42.551,9.079,-0.041
42.508,9.067,-0.026
42.461,9.019,-0.017
42.404,8.99,-0.044
42.368,8.965,-0.061
42.332,8.965,-0.067
42.258,8.923,0.005
42.255,8.94,-0.101
42.2,8.882,-0.07
42.16,8.89,0.079
42.104,8.881,-0.114
42.11,8.818,-0.049
42.021,8.82,-0.024
42.027,8.823,-0.073
41.997,8.768,-0.024
41.937,8.777,0.114
41.977,8.82,0.058
41.876,8.742,-0.031
41.933,8.766,-0.093
41.911,8.751,-0.061
41.881,8.789,0.139
41.809,8.719,0.09
41.785,8.714,-0.027
41.721,8.661,-0.04
41.777,8.679,0.015
41.753,8.672,0.107
41.742,8.662,-0.127
41.646,8.591,-0.029
41.606,8.62,-0.125
41.687,8.618,0.002
41.69,8.632,-0.113
41.65,8.623,0.024
41.608,8.586,-0.087
41.536,8.54,-0.092
41.571,8.612,-0.07
41.562,8.609,0.038
41.544,8.537,0.119
41.566,8.54,0.073
41.513,8.594,0.029
41.46,8.549,0.049
41.476,8.554,-0.055
41.397,8.49,-0.136
41.464,8.466,-0.108
41.441,8.511,0.035
41.386,8.502,-0.05
41.405,8.575,-0.143
41.354,8.516,-0.084
41.364,8.408,-0.237
41.405,8.499,0.012
41.316,8.382,-0.008
41.367,8.524,0.006
41.483,8.685,0.154
41.403,8.508,-0.023
41.431,8.537,-0.043
41.406,8.62,-0.195
41.454,8.618,0.052
41.405,8.493,0.131
41.493,8.582,-0.127
41.4,8.624,-0.084
41.479,8.557,0.014
41.508,8.481,0.053
41.568,8.543,-0.168
41.56,8.58,0.009
41.566,8.588,0.02
41.632,8.661,-0.108
41.643,8.798,-0.189
41.623,8.772,-0.238
41.748,8.891,-0.087
41.82,8.881,0
41.959,8.899,0.084
41.928,8.954,-0.029
41.905,8.965,-0.066
41.959,8.983,-0.002
42.012,8.978,-0.07
42.165,9.065,0.008
42.174,9.094,0.035
42.21,9.134,0.008
42.255,9.174,0.011
42.328,9.203,-0.044
42.406,9.283,-0.053
42.516,9.344,-0.027
42.581,9.396,0.047
42.677,9.422,-0.023
42.772,9.517,0.047
42.871,9.544,0.021
42.953,9.657,-0.034
43.025,9.709,-0.012
43.135,9.756,0.024
43.233,9.805,0.073
43.34,9.88,0.027
43.43,9.941,-0.037
43.506,10.002,0
43.62,10.075,0.021
43.735,10.146,0.047
43.823,10.207,0.003
43.93,10.286,0.002
43.993,10.342,-0.073
44.095,10.422,0.011
44.203,10.481,0.02
44.308,10.555,-0.047
44.402,10.609,0.035
44.493,10.681,0.009
44.591,10.757,0.035
44.695,10.822,0.029
44.781,10.878,-0.012
44.887,10.956,0.031
44.987,11.034,-0.006
45.078,11.099,-0.044
45.16,11.153,0
45.245,11.232,0
45.338,11.304,-0.015
45.445,11.354,0
45.541,11.417,0.031
45.604,11.47,-0.005
45.683,11.517,0.006
45.776,11.603,0.011
45.85,11.641,0.011
45.929,11.705,-0.027
46.033,11.771,-0.006
46.117,11.845,0.011
46.178,11.905,0.023
46.262,11.964,0.002
46.312,12.009,0.009
46.402,12.083,-0.006
46.481,12.132,-0.005
46.545,12.181,-0.003
46.622,12.242,0.006
46.701,12.3,-0.015
46.768,12.364,0.003
