1,2,3,4
49.774,22.63,33.965,0.598
49.332,22.31,33.574,0.537
49.127,21.938,33.542,0.476
49.127,21.938,33.542,0.476
49.127,21.938,33.542,0.476
58.548,26.157,39.969,0.677
58.493,26.215,39.911,0.612
58.188,26.32,39.662,0.632
59.679,27.396,40.663,0.586
60.33,28.221,41.06,0.5
61.328,29.337,41.777,0.618
62.714,30.727,42.726,0.581
63.823,32.199,43.51,0.601
65.527,33.977,44.644,0.627
66.994,35.695,45.561,0.641
68.437,37.418,46.59,0.636
69.746,38.992,47.43,0.667
70.911,40.497,48.239,0.653
71.915,41.817,48.904,0.693
72.708,42.928,49.413,0.746
73.351,43.774,49.857,0.716
73.839,44.476,50.226,0.697
74.266,44.963,50.508,0.7
74.515,45.403,50.717,0.69
74.692,45.741,50.842,0.717
74.858,45.949,50.949,0.708
74.994,46.161,51.001,0.716
75.055,46.294,51.054,0.703
75.076,46.416,51.106,0.699
75.133,46.507,51.143,0.708
75.211,46.576,51.212,0.714
75.23,46.704,51.221,0.661
75.272,46.736,51.216,0.668
75.307,46.843,51.242,0.67
75.336,46.916,51.27,0.679
75.409,47.009,51.292,0.687
75.439,47.108,51.282,0.673
75.537,47.217,51.32,0.676
75.6,47.372,51.372,0.658
75.717,47.534,51.427,0.655
75.832,47.702,51.456,0.665
75.923,47.911,51.498,0.641
76.054,48.117,51.55,0.642
76.227,48.392,51.643,0.632
76.405,48.647,51.729,0.642
76.593,48.944,51.801,0.641
76.772,49.258,51.91,0.629
76.965,49.554,51.997,0.609
77.177,49.892,52.094,0.618
77.426,50.27,52.187,0.594
77.669,50.594,52.318,0.594
77.899,50.963,52.428,0.592
78.111,51.294,52.533,0.583
78.355,51.678,52.644,0.571
78.583,52.01,52.708,0.557
78.767,52.368,52.785,0.563
78.981,52.654,52.87,0.546
79.172,52.922,52.972,0.543
79.32,53.154,53.015,0.54
79.478,53.348,53.05,0.513
79.576,53.522,53.052,0.525
79.671,53.731,53.072,0.529
79.831,53.885,53.098,0.523
79.878,54.013,53.096,0.504
79.964,54.132,53.085,0.488
79.99,54.224,53.081,0.505
80.014,54.285,53.046,0.5
80.084,54.32,53.029,0.47
80.106,54.34,53.001,0.465
80.133,54.369,52.933,0.484
80.093,54.405,52.898,0.462
80.101,54.382,52.864,0.47
80.098,54.373,52.811,0.456
80.054,54.344,52.748,0.476
80.022,54.309,52.684,0.47
80.009,54.286,52.638,0.452
79.961,54.237,52.568,0.441
79.959,54.195,52.536,0.462
79.913,54.181,52.464,0.465
79.906,54.147,52.391,0.443
79.834,54.117,52.376,0.436
79.823,54.089,52.304,0.43
79.787,54.051,52.266,0.453
79.79,54.062,52.211,0.446
79.782,54.103,52.173,0.418
79.755,54.097,52.129,0.447
79.816,54.123,52.124,0.446
79.843,54.199,52.141,0.435
79.829,54.216,52.08,0.43
79.868,54.341,52.048,0.449
79.951,54.372,52.039,0.438
79.918,54.466,52.028,0.461
80.031,54.61,52.074,0.446
80.113,54.77,52.049,0.45
80.243,54.98,52.139,0.458
80.312,55.107,52.164,0.435
80.36,55.261,52.148,0.456
80.432,55.424,52.197,0.45
80.527,55.554,52.226,0.436
80.6,55.728,52.202,0.433
80.618,55.846,52.255,0.458
80.695,55.971,52.324,0.462
80.707,56.093,52.264,0.471
80.774,56.206,52.24,0.496
80.807,56.264,52.313,0.507
80.801,56.364,52.304,0.468
80.873,56.453,52.338,0.476
80.876,56.58,52.339,0.485
80.876,56.653,52.296,0.516
80.931,56.735,52.338,0.519
80.94,56.833,52.316,0.519
80.936,56.886,52.328,0.548
81.035,56.998,52.33,0.528
80.989,57.05,52.313,0.531
81.07,57.127,52.357,0.537
81.075,57.179,52.336,0.552
81.01,57.259,52.255,0.516
81.017,57.315,52.319,0.507
81.009,57.397,52.231,0.598
80.986,57.397,52.251,0.558
81.116,57.494,52.246,0.511
81.062,57.533,52.197,0.584
81.017,57.568,52.151,0.6
81.075,57.661,52.132,0.566
81.111,57.805,52.126,0.589
81.096,57.787,52.147,0.62
81.145,57.889,52.113,0.575
81.168,57.983,52.121,0.642
81.183,58.06,52.042,0.655
81.192,58.244,52.097,0.667
81.218,58.427,52.205,0.656
81.337,58.562,52.263,0.633
81.429,58.788,52.29,0.757
81.375,58.994,52.254,0.763
81.546,59.222,52.391,0.813
81.543,59.54,52.538,0.835
81.641,59.775,52.664,0.948
81.72,60.094,52.802,0.916
81.854,60.48,53.03,1.033
82.007,60.753,53.11,1.085
82.219,61.136,53.313,1.195
82.323,61.548,53.574,1.318
82.408,61.935,53.813,1.375
82.526,62.364,54.065,1.372
82.727,62.744,54.321,1.55
82.951,63.17,54.587,1.656
83.054,63.589,54.893,1.793
83.127,64,55.228,1.955
83.359,64.426,55.44,2.08
83.565,64.937,55.663,2.18
83.82,65.388,56.046,2.255
84.163,66.089,56.551,2.512
84.412,66.592,56.876,2.782
84.54,67.081,57.272,2.957
84.778,67.465,57.616,3.171
84.821,67.784,57.855,3.256
85.043,68.256,58.125,3.525
85.208,68.64,58.569,3.612
85.338,69.174,58.847,3.888
85.492,69.382,59.023,4.097
85.632,69.913,59.401,4.251
85.793,70.236,59.724,4.536
85.822,70.467,59.959,4.782
85.98,70.848,60.225,4.988
86.113,71.095,60.446,5.121
86.455,71.599,60.893,5.411
86.629,71.931,61.2,5.679
86.7,72.365,61.542,5.862
86.955,72.722,61.845,6.073
86.993,72.983,62.111,6.429
87.198,73.376,62.354,6.726
87.306,73.625,62.688,6.895
87.26,73.854,62.845,7.124
87.531,74.271,62.982,7.425
87.662,74.512,63.374,7.607
88.058,75.311,64.238,8.513
88.345,75.874,64.767,9.109
88.545,76.227,65.056,9.474
88.577,76.477,65.283,9.731
88.62,76.73,65.555,10.081
88.821,77,65.892,10.379
88.914,77.245,66.075,10.751
89.073,77.524,66.397,11.047
89.191,77.831,66.689,11.346
89.25,78.032,66.866,11.633
89.372,78.232,67.12,12.012
89.47,78.534,67.377,12.318
89.638,78.821,67.682,12.677
89.667,79.057,67.981,13.004
89.832,79.276,68.147,13.358
90.001,79.442,68.396,13.724
90.068,79.694,68.649,14.069
90.16,79.961,68.893,14.436
